"drugtype_sold_combined","Total_Lab_Fent_Pos","Total_Lab","Pct_Lab_Fent_Pos"
"Benzodiazepine",0,58,0
"Cocaine",0,498,0
"Methamphetamine",0,112,0
"Opioid",1284,1446,88.8
"Other",0,425,0
