"yr_mo","count"
Nov 2021,22
Dec 2021,35
Jan 2022,16
Feb 2022,28
Mar 2022,39
Apr 2022,10
May 2022,2
Jun 2022,14
Jul 2022,66
Aug 2022,67
Sep 2022,60
Oct 2022,43
Nov 2022,49
Dec 2022,59
Jan 2023,79
Feb 2023,74
Mar 2023,133
Apr 2023,110
May 2023,152
Jun 2023,101
Jul 2023,78
Aug 2023,69
Sep 2023,73
Oct 2023,96
Nov 2023,99
Dec 2023,66
Jan 2024,82
Feb 2024,84
Mar 2024,84
Apr 2024,83
May 2024,73
Jun 2024,94
Jul 2024,67
Aug 2024,77
Sep 2024,82
Oct 2024,108
Nov 2024,66
Dec 2024,68
Jan 2025,75
Feb 2025,108
Mar 2025,95
Apr 2025,127
May 2025,125
Jun 2025,115
Jul 2025,133
Aug 2025,155
Sep 2025,54
Oct 2025,91
Nov 2025,47
Dec 2025,42
Jan 2026,64
Feb 2026,62
Mar 2026,78
Apr 2026,108
May 2026,95
Jun 2026,110
